"","Year","mean_W","total_species_pairs","mean_lc_stab","lc_sp_pairs","mean_mp_stab","mp_species_pairs","mean_cc_stab","cc_species_pairs"
"1",1986,0.000407469924591029,1378,0.000418498672832998,446,0.000288340975925985,49,0.000385879295894986,883
"2",1987,0.000260035333175647,1830,0.000302786616246936,591,0.000679539767597284,58,0.000212731197517158,1181
"3",1988,0.000236658924619722,1830,0.000282400430283251,591,0.000372093153260096,55,0.000217927783070411,1184
"4",1989,0.000318783023567003,1431,0.000322920472448101,460,0.000448307956343527,49,0.000316434395842233,922
"5",1990,0.000329129494839991,1770,0.000375831955534912,571,0.000281293521740911,52,0.000318570851490846,1147
"6",1991,0.000279541955409342,1830,0.000317639117221468,592,0.000346311398106147,55,0.000264064519594289,1183
"7",1992,0.000282096130952184,1596,0.000293080456265068,514,0.000274828015988131,45,0.000281678854430598,1037
"8",1993,0.00024489236594358,2211,0.000243614538698274,716,0.000311634942089615,60,0.000240655864981671,1435
"9",1994,0.000391797794042342,1431,0.000421256413786066,460,0.000589806983598529,46,0.000353702980398012,925
"10",1995,0.000524829406859047,1275,0.000510965529744556,409,0.000512864923188647,42,0.000531055961987763,824
"11",1996,0.000347555587019283,1326,0.000332442956609139,430,0.000563929375142684,42,0.000340093237784403,854
"12",1997,0.000525679517080718,903,0.000484308883509183,289,0.000445252125566835,40,0.000548028400409875,574
"13",1998,0.000677146170256088,820,0.000631230633299434,260,0.000851337079864249,37,0.000681777662030192,523
"14",1999,0.000627697766345496,903,0.000644514102661856,288,0.000437235696754463,40,0.000633736287823755,575
"15",2000,0.000594067872776685,1485,0.000692871473923775,479,0.000462845173206303,50,0.000590444667924784,956
"16",2001,0.000860849170217369,946,0.000831322852993225,303,0.000497377928509215,38,0.000902498072574109,605
"17",2002,0.000628033391700063,1326,0.000566674186782282,427,0.00113695528053311,44,0.000616516713590783,855
"18",2003,0.000442876676475781,1326,0.000405881035137597,430,0.00079356053674674,41,0.000429562007788664,855
"19",2004,0.000524035278493733,1128,0.000400660015929642,367,0.00135023569492347,42,0.000523592710311357,719
"20",2005,0.00036016392913126,1326,0.000328541674740553,435,0.000340067853232684,45,0.000363898661134458,846
"21",2006,0.00069600771918133,1326,0.000956432516766361,427,0.000334041284888589,46,0.000496442302369051,853
"22",2007,0.00033066962254996,1275,0.000339074691643473,409,0.000232091188068368,47,0.000321048924966615,819
"23",2008,0.000668205912017265,990,0.000631418650211955,322,0.000585767809036446,38,0.000671989374901045,630
"24",2009,0.000265957946626356,1485,0.000277141373455978,483,0.000216560421408048,46,0.000267604193790123,956
"25",2010,0.000286777363480324,1540,0.000284239247740236,495,0.00033164640476069,50,0.00028486355281741,995
"26",2011,0.000233342888708938,1596,0.000234851458030969,516,0.000149790488358989,51,0.000236752594880921,1029
"27",2012,0.000258144142179871,1770,0.000239367296839587,573,0.000342997259887146,51,0.000262681756641453,1146
"28",2013,0.000160790666586308,1431,0.000155918329680162,460,0.000197908457677887,47,0.000159948720298832,924
"29",2014,0.000261878518732813,1128,0.000256969695267124,367,0.000216093505813643,39,0.000241327568269731,722
"30",2015,0.000228044858221393,1653,0.000255077226121878,532,0.000218836722657994,47,0.000209481181105757,1074
"31",2016,0.000154575809633826,1711,0.000160645083490301,552,0.000160343484810515,52,0.00014647108529226,1107
"32",2017,0.000337703707466013,1770,0.000274569513724563,571,0.000361661146395782,53,0.00036466142104812,1146
"33",2018,0.000280031991645374,1326,0.000296059603252056,425,0.000316208755158726,48,0.00027064892506687,853
"34",2019,0.000195946254509198,1540,0.00019753156091776,507,0.00022429298189973,47,0.000188682163533869,986
